"ROCKRADIO.COM - Progressive Rock","http://pub4.rockradio.com:80/rr_progressiverock","Rock","Unknown",""
"ROCKRADIO.COM - Rock Ballads","http://pub1.rockradio.com:80/rr_rockballads","Rock","Unknown",""
"ROCKRADIO.COM - Screamo-Emo","http://pub2.rockradio.com:80/rr_screamoemo","Rock","Unknown",""
"ROCKRADIO.COM - Ska","http://pub3.rockradio.com:80/rr_ska","Rock","Unknown",""
"ROCKRADIO.COM - Soft Rock","http://pub2.rockradio.com:80/rr_softrock","Rock","Unknown","Favorite"
"ROCKRADIO.COM - Symphonic Metal","http://pub2.rockradio.com:80/rr_symphonicmetal","Rock","Unknown",""
"Cherry Radio (Vietnamese)","http://66.45.246.202:8414","Etno","Australia",""
"Saigon Radio Seattle (SRBS)","http://206.71.180.246:8888","Regional service","Vietnamese",""
"Cherry Radio: Knh nhc tr hin","http://66.45.246.202:8420","Pop","Vietnamese",""
"CINEMIX","http://37.59.38.233:8010","Soundtracks","Unknown","Favorite"
"StreamingSoundtracks.com","http://91.121.140.11:8000","Soundtracks","Unknown",""
"Radio Rivendell - The Fantasy Station","http://88.191.143.218:8003","Soundtracks","Unknown",""
"M2 CLASSIC : ONLY SOUNDTRACKS & CLASSICAL MUSIC","http://87.98.163.222:9000","Soundtracks","Unknown",""
"CALMRADIO.COM - MOVIEOLA - Sampler","http://173.192.225.172:8008","Soundtracks","Unknown",""
"Radio Nintendo","http://198.144.180.102:9994","Soundtracks","Unknown",""
"Romske radio iRoma.cz","http://37.157.197.159:8000","Etno","Czech Republic","Favorite"
"NIN radio Czech Republic","http://84.242.120.237:8000/stream/1/","Pop","Czech Republic",""
"FM 93 - Sistema Verdes Mares","http://187.110.229.69:8036","Regional service","Brasil",""
"PAUL IN RIO RADIO","http://99.198.112.59:80","Easy Listening","Brasil",""
"RADIO CISCO","http://69.64.33.245:8006","Easy Listening","Brasil",""
"Brasil Grooves","http://208.167.236.13:8146","Etno","Brasil",""
"AnimeNfo Radio","http://174.127.103.99:443","Rock","Japan",""
"Armitage's Dimension","http://128.227.16.224:8080","Pop","Japan",""
"Big B Radio - JPOP","http://199.241.187.194:8070","Pop","Japan",""
"Japan-A-Radio","http://64.62.194.40:9010","Top 40","Japan",""
"Big B Radio - CPOP","http://199.241.187.194:8064","Pop","China",""
"Jakarta","http://69.64.33.125:8016","Oldies","China",""
"Washington Chinese Radio","http://50.117.8.242:5760/Live","Easy Listening","China",""
"On air POWER - Hong Kong 24hrs","http://58.177.247.26:8128","Regional service","China",""
"Reggae141.com","http://184.107.197.154:8002","Reggae","Unknown",""
"1.FM - REGGAETRADE RADIO","http://205.164.35.25:80","Reggae","Unknown",""
"Radio Index ","http://live3.infonetmedia.si:8000/index","Regional service","Serbia",""
"winwin","http://radio.winwin.rs:16005/","Hit","Serbia",""
"Fusion Radio Chicago","http://launch.fusionradio.fm:8004","Hit","US","Favorite"
"TDI Radio - Love","http://streaming.tdiradio.com:9444/","Pop","Serbia",""
"TDI Radio - Top 40","http://streaming.tdiradio.com:9133/","Top 40","Serbia",""
"TDI Radio - All Hits","http://streaming.tdiradio.com:9777/","Hit","Serbia",""
"TDI Radio - R'N'B","http://streaming.tdiradio.com:9122/","RNB","Serbia",""
"TDI Radio - Domaćica","http://streaming.tdiradio.com:9555/","Easy Listening","Serbia",""
"tunein - GotRadio Classic 60s","http://206.217.213.236:8370","50's - 90's","US",""
"BBC Radio 1","http://bbcmedia.ic.llnwd.net/stream/bbcmedia_intl_lc_radio1_p?s=1386433089&e=1386447489&h=2544e3695c7587b24898e6e1d4d098f1","Hit","UK",""
"BBC Radio 2","http://bbcmedia.ic.llnwd.net/stream/bbcmedia_intl_lc_radio2_p?s=1386433105&e=1386447505&h=efd9e62c40926d57e33842dd4ca98d9d","Hit","UK",""
"BBC Radio 3","http://bbcmedia.ic.llnwd.net/stream/bbcmedia_intl_lc_radio3_p?s=1386433113&e=1386447513&h=ba02af7a948232aecd1992a52bc72501","Hit","UK",""
"BBC Radio 4","http://bbcmedia.ic.llnwd.net/stream/bbcmedia_intl_lc_radio4_p?s=1386433119&e=1386447519&h=3e321551409cd74731cdb6eedab84f90","Hit","UK",""
"BBC Radio 4 LW","http://bbcmedia.ic.llnwd.net/stream/bbcmedia_intl_lc_radio4lw_p?s=1386433316&e=1386447716&h=7afc0469fadb3f38df18f1dbc6cc1525","Hit","UK",""
"BBC Radio 4 EX","http://bbcmedia.ic.llnwd.net/stream/bbcmedia_intl_lc_radio4extra_p?s=1386433355&e=1386447755&h=c7733561e7260d9d33ae08b445ad54b6","Hit","UK",""
"BBC Radio 5 Live","http://bbcmedia.ic.llnwd.net/stream/bbcmedia_intl_lc_5live_p?s=1386433471&e=1386447871&h=c8bf2d9d695a6b4cb5475fb2f4c71af6","Hit","UK",""
"BBC Radio Live Sports Extra","http://bbcmedia.ic.llnwd.net/stream/bbcmedia_intl_lc_5sportxtra_p?s=1386433527&e=1386447927&h=0f27df2edb6a4c7c2dcdd1feda5c26f0","Sport","UK",""
"BBC Radio 6 Music","http://bbcmedia.ic.llnwd.net/stream/bbcmedia_intl_lc_6music_p?s=1386433583&e=1386447983&h=20738792d2df85a32bd3142f0c7f4232","Hit","UK",""
"BBC 1Xtra","http://bbcmedia.ic.llnwd.net/stream/bbcmedia_intl_lc_1xtra_p?s=1386433634&e=1386448034&h=ee838aa607d4d0a2df6a6ca9ea638c9e","Hit","UK",""
"BBC Asian Network","http://bbcmedia.ic.llnwd.net/stream/bbcmedia_intl_lc_asiannet_p?s=1386433678&e=1386448078&h=d387491b2097e0d71323ec12e4d95e1c","Hit","UK",""
"BBC World Service","http://bbcwssc.ic.llnwd.net/stream/bbcwssc_mp1_ws-eieuk","News","UK","Favorite"
"BBC World Service News","http://bbcwssc.ic.llnwd.net/stream/bbcwssc_mp1_ws-einws","News","UK",""
"Classic Hits 4FM","http://50.7.242.154:8044/","Hit","Ireland",""
"Antenna Radio Esse","http://s8.mediastreaming.it:7580/","News","Italy",""
"Die Antenne","http://server2.digital-webstream.de:23780/","Pop","Italy",""
"CiaoComo Radio","http://94.23.29.154:8078/","News","Italy",""
"Ciccio Riccio","http://onair11.xdevel.com:8198/","Easy Listening","Italy",""
"Controradio","http://streaming.controradio.com:8190/","News","Italy",""
"Delta Radio","http://wma02.fluidstream.net:7209","News","Italy",""
"Easy Network","http://str01.fluidstream.net:6030/","Regional service","Italy",""
"ElleRadio","http://178.32.136.160:8104/","News","Italy",""
"FM Italia","http://onair7.xdevel.com:8700/","Pop","Italy",""
"Gamma Radio","http://159.253.145.180:7014/","Oldies","Italy",""
"Italia Radio","http://str01.fluidstream.net:8080/fluid05.mp3","Easy Listening","Italy",""
"Latte Miele","http://ice02.fluidstream.net:80/fluid016.aac","Easy Listening","Italy",""
"RTK Radio Kosova","http://stream2.rtkit.com:8088/","News","Kosova",""
"RTK Radio Blue Sky","http://stream2.rtkit.com:8098/","Easy Listening","Kosova",""
"Radio Kosova e Lirë 94.2 FM","http://s3.viastreaming.net:8715/","Etno","Kosova",""
"Radio Llapi","http://radio.1dhe1.com:8555/","Etno","Kosova",""
"Radio Vala Rinore","http://84.22.46.10:8000/","Regional service","Kosova",""
"Radio Zëri i Shtimes","http://radio.1dhe1.com:8080/","Regional service","Kosova",""
"Urban FM 103.5","http://46.19.227.210:8000/","Alternative","Kosova",""
"1.FM - BOMBAY BEATS INDIA RADIO","http://205.164.36.115:80","Easy Listening","India",""
"Radio HSL - Hit Hai Toh Bajega!","http://50.7.70.66:8485","Easy Listening","India",""
"LiveIreland - Live from Dublin","http://66.90.73.250:8080/","Etno","Ireland",""
"89 Rainbow","http://stream.greekradios.gr:4000/","Pop","Greece",""
"Bayrak Klasik","http://www.brtk.net:8006/","Classic","Cyprus",""
"BFBS Germany - Dortmund","http://icy-e-01.sharp-stream.com:80/ssvcbfbs5.mp3","Hit","Germany",""
"BNR Nieuwsradio Nederland","http://81.173.3.251:80/","News","Netherlands",""
"Bratislavské rádio SiTy","http://217.73.17.42:8000/hq.mp3","Pop","Slovakia",""
"BRTK - Bayrak International Radio","http://www.brtk.net:8004/","Hit","Cyprus",""
"Cadena Digital","http://92.48.107.35:8006/","Top 40","Spain",""
"“Clasic Radio","http://glb-stream14.streamserver.ch/2/rsc_de/aacp_64","Classic","Germany",""
"Crónicas Radio","http://85.48.192.60:8000/","News","Spain",""
"DeeJayDance","http://91.132.6.21:8009/","Dance","Greece",""
"DeeJayNonStop","http://91.132.6.21:8007/","Top 40","Greece",""
"Hit Music FM","http://hitmusic.ipradio.rs:8016","Pop","Serbia",""
"JazzRadio 101.9","http://84.16.227.59:8250/;stream.mp3","Jazz","Germany",""
"La Bomba","http://87.106.95.19:8009/stream","Etno","Spain",""
"Lake FM","http://46.105.61.83:8010/","Dance","Finland",""
"Live FM 89.6","http://eco.onestreaming.com:8033/","Top 40","Greece",""
"Metropolis 95.5","http://streamx1.greekradios.gr:8000/","Sport","Greece",""
"Otvoreni Radio","http://50.23.115.122:8209","Hit","Croatia",""
"Plus FM","http://89.122.141.217:8000/","Top 40","Romania",""
"Radio 101","http://live.radio101.hr:443","Hit","Croatia",""
"Radio Đakova","http://www.paukhost.com:8500/","Dance","Croatia",""
"Radio eMaramures","http://93.114.184.166:8888/","Pop","Romania",""
"Radio KL","http://178.63.142.129:7000/","Pop","Croatia",""
"Radio Nostalgie - Live from Belgium","http://stream01.level27.be:80/","Hit","Belgium",""
"Rádio Universidade de Coimbra","http://212.13.41.100:12002/","Alternative","Portugal",""
"Studio B","http://radio.studiob.rs:8004","Pop","Serbia",""
"Super Radio - Україна","http://radiorecord.pp.ua:80/super","Pop","Україна",""
"SYKE.FM","http://stream.syke.fm:8000","Techno","Finland",""
"Thraki FM","http://live3.istoikona.com:8010/","News","Greece",""
"Top Radio","http://ns24907.ovh.net:8000/","Dance","Belgium",""
"Vidkryte Radio","http://online.radio.pl.ua:9006/","Oldies","Україна",""
"WERS [Massachusetts]","http://marconi.emerson.edu:8000/wers","Rock","US",""
"WKSU [Ohio]","http://66.225.205.8:8010/","Classic","US",""
"WRCH - Lite 100.5 [Connecticut]","http://cbs.media.streamtheworld.com/audio/geoblocking.mp3","Hit","US",""
"WUMB [Massachusetts]","http://www.live365.com/play/wumb919fast","Folk","US",""
"WXPN [Pennsylvania]","http://wxpnhi.streamguys.com:80/xpnhi","Alternative","US",""
"Zoo Radio","http://stream.greekradios.gr:9060/","Top 40","Greece",""
"Радио City - България","http://62.204.145.218:8000/city64","Dance","България",""
"Радіо DJ FM - Київ 96.8 МГц","http://217.20.164.163:8010/","Dance","Київ",""
"Радіо Шансон - Україна","http://217.20.164.163:8002/","Oldies","Україна",""
"Pianorama","http://188.127.226.185:80","Classic","Unknown",""
"AceRadio - New Country","http://173.193.32.131:8510","Alternative","Unknown",""
"Absolute COUNTRY","http://174.36.206.217:8747","Country","Unknown",""
"WRJQ Goodtime Radio","http://23.29.114.18:8144","Easy Listening","Unknown",""
"Heartbeat FM Lovesongs & Heartbreakers","http://176.31.239.83:8096","Easy Listening","Unknown",""
"DUBSTEP.FM","http://72.13.91.147:80","Techno","Unknown",""
"FRISKY | feelin' frisky?","http://205.188.215.229:8024","Techno","Unknown",""
"SG.House - Fresh'N'House Beats powered by JustFourPlay.de","http://85.17.26.75:80","Dance","Germany",""
"HardBase.FM - 24h","http://46.165.221.227:80","House","Unknown",""
"Limbik Frequencies - Radio Elektro[u]nique","http://205.188.215.225:8018","Electric","Unknown",""
"Chill out radio.gr","http://94.23.22.143:8999","Ambient","Germany",""
"HouseTime.FM - 24h","http://78.159.104.128:80","House","Unknown",""
"Radio Klass Romania","http://69.164.220.100:2012","Blues","Romania",""
"KOQX Blues Radio","http://50.23.115.122:8420","Blues","Unknown",""
"Rubin Radio","http://94.127.2.97:8000/radio","Dance","Serbia",""
"Радио Планет","http://87.98.183.142:9310","Etno","Macedonia",""
"Radio Pingvin","http://62.75.235.34:8090","Pop","Serbia",""
"Cvrčak","http://46.4.113.188:8800/","Folk","Serbia",""
"Black Sheep Soul","http://50.23.115.122:8238/","Soul Jazz","Unknown",""
"HBR1.com - Dream Factory","http://ubuntu.hbr1.com:19800/ambient.ogg","Ambient","UK",""
"HBR1.com - Tronic Lounge","http://ubuntu.hbr1.com:19800/tronic.ogg","House","Unknown",""
"HBR1.com - I.D.M. Tranceponder","http://ubuntu.hbr1.com:19800/trance.ogg","Techno","UK",""
"City Radio","http://217.16.69.10:8004/","Hit","Macedonia",""
"Romania Muzical","http://stream2.srr.ro:8020","Romania","Romania",""
"Romantic FM","http://93.114.44.203:8002","Romania","Romania",""
"Radio București","http://89.238.227.6:8036","Romania","Romania",""
"Antena Satelor","http://89.238.227.6:8040","Romania","Romania",""
"Romania Actualități","http://89.238.227.6:8000","Romania","Romania",""
"Romania Cultural","http://stream2.srr.ro:8010","Romania","Romania",""
"Teatru","http://media.3netmedia.ro:8000/teatru","Romania","Romania",""
"Persian Cats","http://persiancatsradio.sytes.net:8000","Romania","Romania",""
"RadioDeea","http://live.radiodeea.ro:8090","Romania","Romania",""
"Minisat Târgoviște","http://radio.minisat.ro:8000","Romania","Romania",""
"Radio3net","http://media.3netmedia.ro:8000/Live128","Romania","Romania",""
"EuropaFM","http://89.238.252.130:7000","Romania","Romania",""
"Radio Timișoara","http://89.238.220.178:8001/radiotimisoara.aacp","Romania","Romania",""
"Radio Party","http://live.activeradio.ro:9000/","Romania","Romania",""
"KissFM","http://80.86.106.136","Romania","Romania",""
"RAGGAKINGS Big Music Ahead Your","http://war.str3am.com:7970","Reggae","Unknown",""
"UKRG Radio","http://87.117.193.43:8190/","Reggae","Unknown",""
"ConciousRadio","http://rascast.podzone.org:8006/conciousradio","Reggae","Unknown",""
"BigupRadio","http://radio.bigupradio.com.:8000/","Reggae","Unknown",""
"Bigvibez","http://streams.bigvibez.com:7000/","Reggae","Unknown",""
"Pandora","http://pandora.m2stream.fr:8000","Reggae","France",""
"Aelita","http://aelita.m2stream.fr:8000","Reggae","France",""
"ReggaeMe Radio","http://174.36.206.197:8084","Reggae","Unknown",""
"Carribean Vibes Radio Stream","http://64.150.176.9:8267","Reggae","Unknown",""
"Webadub Hot Radio","http://176.31.240.114:8050","Reggae","Unknown",""
"Roots Reggae","http://scfire-dtc-aa02.stream.aol.com:80/stream/1017","Reggae","Unknown",""
"Discoplanet","http://radiodiscoplanet.anielamdf.ro:8006/","Romania","Romania",""
"GiurgiuFM","http://89.39.189.23:8000/","Romania","Romania",""
